Sports & Leisure: What New York Yankees captain died when he crashed his plane short of the runway?|Thurman Munson
World History: During the Black Death, or Bubonic Plague, in mid 1300's Europe (approx.), what percentage of the population perished?|33%
World History: The Hundred Years War was fought between what two European countries?|England and France
World History: Vasco de Gama, who discovered a sea route in the 15th century to India around the continent of Africa, was from what European country?|Portugal
World History: What group used the agricultural method of terracing in the Andes Mountains during the 15th century?|Incas
World History: The beginning of the Renaissance in Italy began in what century?|14th Century
World History: Who defeated the English at the Battle of Hastings in 1066?|Normans
World History: Built in 1407 in Genoa, Casa di San Giorgio, one of the first of its kind, was a what?|Bank
World History: Which was constructed first, The Cathedral or The Tower, in Pisa, Italy?|The Cathedral
World History: When Christopher Columbus landed in the Caribbean Islands in 1492, what present day nation did he land on first?|Bahamas
World History: In 1260, the Mongols led by Kublai Khan overtook China and ruled until 1368. What dynasty was this?|Yuan
World History: The Aztec capital was founded around 1325 in central Mexico and was called what?|Tenochtitlan
World History: Which English King issued the Magna Carta in 1215?|King John
World History: Joan of Arc was a heroine during what war?|Hundred Year's War
World History: What Venetian traveler and explorer landed in China and reached Kublai Khan's court in 1275?|Marco Polo
World History: Constantinople fell to the Ottoman Turks in what year?|1453
World History: What empire ruled by Mansa Musa reached its height in Africa from 1312-1337?|Mali Kingdom
World History: The legend of this 12th century English bandit-hero was mostly made known through the ballads and songs of wandering minstrels who weaved a patchwork of fact and fiction into the contemporary culture of the time. Who was he?|Robin Hood
World History: What year is the single most important year in U.S. history (the defeat of the Spanish armada)?|1588
Roman Emperors:: Who ruled in Rome in 31bc - 14ad?|Augustus
Roman Emperors:: Who ruled in rome in 14ad - 37ad?|Tiberius
Roman Emperors:: Who ruled in Rome in 37ad - 41ad?|Caligula
Roman Emperors:: Who ruled in Rome in 41ad - 54ad?|Claudius
Roman Emperors:: Who ruled in Rome in 54ad - 68ad?|Nero
Roman Emperors:: Who ruled in Rome in 69ad?|Vitellius
Roman Emperors:: Who ruled in Rome in 69ad - 79ad?|Vespasianus
Roman Emperors:: Who ruled in Rome in 79ad - 81ad?|Titus
Roman Emperors:: Who ruled in Rome in 81ad - 96ad?|Domitianus
Roman Emperors:: Who ruled in Rome in 96ad - 98ad?|Nerva
Roman Emperors:: Who ruled in Rome in 98ad - 117ad?|Trajanus
Roman Emperors:: Who ruled in Rome in 117ad - 138ad?|Hadrianus
Roman Emperors:: Who ruled in Rome in 138ad - 161ad?|Antonius Pius
Roman Emperors:: Who ruled in Rome in 161ad - 180ad?|Marcus Aurelius
Roman Emperors:: Who ruled in Rome in 180ad - 192ad?|Commodus
Roman Emperors:: Who ruled in Rome in 193ad?|Didius Julianus
Roman Emperors:: Who ruled in Rome in 193ad - 211ad?|Septimus Severus
Roman Emperors:: Who ruled in Rome in 211ad - 217ad?|Caracalla
Roman Emperors:: Who ruled in Rome in 217ad - 218ad?|Macrinus
Roman Emperors:: Who ruled in Rome in 218ad - 222ad?|Heliogabalus
Roman Emperors:: Who ruled in Rome in 222ad - 235ad?|Alexander Severus
Roman Emperors:: Who ruled in Rome in 235ad - 238ad?|Maximinus
Roman Emperors:: Who ruled in Rome in 238ad?|Balbinus
Roman Emperors:: Who ruled in Rome in 238ad - 244ad?|Gordianus III
Roman Emperors:: Who ruled in Rome in 244ad - 249ad?|Philippus
Roman Emperors:: Who ruled in Rome in 249ad - 251ad?|Decius
Roman Emperors:: Who ruled in Rome in 251ad - 254ad?|Gallus
Roman Emperors:: Who ruled in Rome in 254ad?|Aemilianus
Roman Emperors:: Who ruled in Rome in 254ad - 260ad?|Valerianus
Roman Emperors:: Who ruled in Rome in 254ad - 268ad?|Galienus
Roman Emperors:: Who ruled in Rome in 268ad - 270ad?|Claudius II
Roman Emperors:: Who ruled in Rome in 270ad - 275ad?|Aerelianus
Roman Emperors:: Who ruled in Rome in 275ad - 276ad?|Tacitus
Roman Emperors:: Who ruled in Rome in 276ad - 282ad?|Prubus
Roman Emperors:: Who ruled in Rome in 282ad - 283ad?|Carus
Roman Emperors:: Who ruled in Rome in 283ad - 284ad?|Numerianus
Roman Emperors:: Who ruled in Rome in 283ad - 285ad?|Carinus
Roman Emperors:: Who ruled in Rome in 284ad - 305ad?|Diocletianus
Roman Emperors:: Who ruled in Rome in 305ad - 306ad?|Galerius
Roman Emperors:: Who ruled in Rome in 306ad - 324ad?|Maxentius
Roman Emperors:: Who ruled in Rome in 324ad - 337ad?|Constantinus the Great
Roman Emperors:: Who ruled in Rome in 337ad - 361ad?|Constantinus II
Roman Emperors:: Who ruled in Rome in 337ad - 350ad?|Constans
Roman Emperors:: Who ruled in Rome in 361ad - 363ad?|Julianus Apostata
Roman Emperors:: Who ruled in Rome in 363ad - 364ad?|Jovianus
Roman Emperors:: Who ruled in Rome in 364ad - 375ad?|Valentinianus
Roman Emperors:: Who ruled in Rome in 364ad - 378ad?|Valens
Roman Emperors:: Who ruled in Rome in 375ad - 383ad?|Gratianus
Roman Emperors:: Who ruled in Rome in 375ad - 392ad?|Valentinianus
Roman Emperors:: Who ruled in Rome in 378ad - 395ad?|Theodosius the Great
World Leaders:: From which country was Muhammad Zahir Shah king?|Afghanistan
World Leaders:: From which country was General Juan D. Peron president?|Argentina
World Leaders:: From which country was Leopold III king?|Belgium
World Leaders:: From which country was Yigme Wangchuk de maharadja?|Bhutan
World Leaders:: From which country was Sao Sjwe Thaik president?|Burma
World Leaders:: From which country was Enriquez Hertzog president?|Bolivia
World Leaders:: From which country was Generaal Enrique Gaspar Dutra president?|Brazil
World Leaders:: From which country was Gabriel Gonzalez Videla president?|Chile
World Leaders:: From which country was Li Tsuang Jen president?|China
World Leaders:: From which country was Mariano Ospina Perez president?|Colombia
World Leaders:: From which country was Jose Figuerez president?|Costa Rica
World Leaders:: From which country was Carlos Prio Socarras president?|Cuba
World Leaders:: From which country was Frederick IX king?|Denmark
World Leaders:: From which country was Galo Plaza Lasso president?|Ecuador
World Leaders:: Which country had king Farouk?|Egypt
World Leaders:: From which country was Jubo Paasikivi president?|Finland
World Leaders:: From which country was Vincent Auriol president?|France
World Leaders:: Born in Greece in 1901, who was king in 1947?|Paul I
World Leaders:: From which country was George VI king?|Geat Britain
World Leaders:: From which country was Juan Jose Arevalo president?|Guatemala
World Leaders:: From which country was Dumarsais Estime president?|Haiti
World Leaders:: From which country was Juan Manuel Galves president?|Honduras
World Leaders:: From which country was Arpad Szakasits president?|Hungary
World Leaders:: From which country was Sean T. O'Kelly president?|Ireland
World Leaders:: From which country was Faisal II king?|Iraq
World Leaders:: From which country was Shahpoor Muhammad Reza Pahlevi shah?|Iran
World Leaders:: From which country was Chaim Weizmann president?|Israel
World Leaders:: From which country was Luigi Einaudi president?|Italy
World Leaders:: From which country was Hirohito emperor?|Japan
World Leaders:: From which country was Bechara el Khoury president?|Lebanon
World Leaders:: From which country was William V.S. Tubman president?|Liberya
World Leaders:: From which country was Sidi Muhammad sultan?|Morocco
World Leaders:: From which country was Miguel Aleman president?|Mexico
World Leaders:: From which country was Juliana queen?|Netherlands
World Leaders:: From which country was Victor M. Roman y Reyes president?|Nicaragua
World Leaders:: From which country was Haakon VII king?|Norway
World Leaders:: From which country was Karl Renner president?|Austria
World Leaders:: From which country was Domingo Diaz president?|Panama
World Leaders:: From which country was F. Molas Lopes president?|Paraguay
World Leaders:: From which country was Manuel A. Odira president?|Peru
World Leaders:: From which country was Elpidio Quirino president?|Philippines
World Leaders:: From which country was Boleslav Bierut president?|Poland
World Leaders:: From which country was Antonio de Fragoso Carmona president?|Portugal
World Leaders:: From which country was Abdul Aziz al Faisal al Saud king?|Saudi Arabia
World Leaders:: From which country was Hoesni Zaim president?|Syria
World Leaders:: From which country was Phumibol Aduldet king?|Thailand
World Leaders:: From which country was Ismet Inonu president?|Turkey
World Leaders:: From which country was Battle Berres president?|Uruguay
World Leaders:: From which country was Gustav V king?|Sweden
WWI:: Who in Austria was killed on June 28 1914?|Franz Ferdinand
WWI:: Who was killed in Paris on July 31 1914?|Jean Jaures
WWI:: Who said 'Not kennt kein Gebot' on August 4 1914?|Von Bethmann Hollweg
WWI:: Which Belgian city was taken by the Germans on August 4-17 1914?|Liege
WWI:: August 19 1914: Ultimatum from Japan to which country?|Germany
WWI:: What's the name of the pope who died on August 20 1914?|Pius X
WWI:: Which Belgian city was occupied on August 20 1914?|Brussels
WWI:: August 23-31 1914: The Battle of?|Tannenberg
WWI:: On September 3 1914, Reims was occupied by?|The Germans
WWI:: September 5 1914: Battle at?|The Marne
WWI:: September 8 1914: The fall of?|Maubeuge
WWI:: Which English ship was destroyed by the German submarine U9 September 22 1914?|Aboekir
WWI:: Which Belgian city was taken on October 9 1914?|Antwerp
WWI:: Which Belgian city was taken on October 14 1914?|Brugge
WWI:: Which Belgian city was taken on October 15 1914?|Oostende
WWI:: Which Belgian city was taken on October 16 1914?|Zeebrugge
WWI:: On November 7 1914, Tsingtau was taken by which country?|Japan
WWI:: Which country's east coast was attacked by the Germans on January 19-20 1915?|England
WWI:: German defeats who on February 4-22 1915?|Russia
WWI:: On April 25 1915, allied troups land where?|Gallipolli
WWI:: Which city in Poland was taken on August 3 1915?|Warsaw
WWI:: Which battle lasted from February 16 - December 16 1916?|Verdun
WWI:: Intervention by the US on March 15 1916 in which country?|Mexico
WWI:: Which east european country enters /WWI on August 27 1916?|Romania
WWI:: Who becomes president of the US on November 7 1916?|Wilson
WWI:: Which city was occupied by the English on March 11 1917?|Baghdad
WWI:: On March 16 1917, which country becomes a republic?|Russia
WWI:: Which tsar was arrested on March 21 1916?|Tsar Nicholas II
WWI:: Which north european city was occupied on September 3 1917?|Riga
WWI:: The second 'October Revolution' on November 6-7 1917 was where?|Russia
WWI:: Which Russian city was taken on March 1-3 1918?|Kiev
WWI:: March 7 1918, peace between Germany and which other country?|Finland
WWI:: On October 3 1918, Boris III became the king of which country?|Bulgaria
WWI:: Who was killed on October 31 1917?|Tisza
WWI:: In which German city started a revolution on November 9 1917?|Berlin
Horses: What is the gestation period of a horse, in months?|Eleven
Horses: Which of the following is NOT a movement of the horse: Crawl, Trot, Walk, Canter?|Crawl
Horses: Which of the following is a style of riding: Northwestern, Southwestern, Western, Northeastern?|Western
Horses: On a horse, where does the bit go?|In the mouth
Horses: Many Appaloosa foals are born 'solid-color' and '_______' later in life.|become spotted
Horses: Secretariat, 20th century's most famous horse, was of what breed?|Thoroughbred
Horses: Which of these are a vice of the horse: Rearing, Bearing, Rucking, Searing?|Rearing
Horses: Which horse breed does the Tolt gait?|Icelandic
Horses: Why do horses lift up their upper lip?|To smell something better
Horses: What couple EACH won a gold medal in the 2000 olympics?|Karen and David O'Conner
Horses: What pony has played an important part in the lives of Carpathian people?|Huzule Pony
Horses: For a horse at the gallop, how many feet are on the ground at once?|One
Horses: How many kinds of Tapirs (a close relative to the horse) still exist today?|Four
Horses: What was the name of the horse that was ridden by the Lone Ranger?|Silver
Horses: What was the name of Paul Revere's horse?|Brown Betty
Horses: What was the name of the horse ridden by Dale Evans?|Buttermilk
Horses: What was the name of Roy Roger's horse?|Trigger
Horses: What was the name of the horse ridden by Chuck Connors in the Rifleman?|Razor
Horses: What was the name of the riderless horse at John F. Kennedy's funeral?|Blackjack
Horses: A thoroughbred horse's name may not contain more than how many letters?|Fourteen
Horses: Which racehorse was named 'horse of the year' for 5 consective years in the early 1960's?|Kelso
Horses: Which is not a type of gait for a show horse: Canter, Step, Durbin, Pace?|Durbin
Horses: Which is the heaviest of the following horses: Morgan, Race, Draft, Quarter?|Draft
Horses: What filly won the 1924 Preakness?|Nellie Morse
Horses: A martingale performs what function?|Keeps the horse's head down
Horses: What breed was The Black Stallion?|Arabian
Horses: As of 2001, how many fillies have won the Kentucky Derby?|Three
Horses: What is the name of the school in Vienna where Lipizzaners are trained and perform?|Spanish Riding School
Horses: The United States Equestrian Team is headquartered in Gladstone.  What state?|New Jersey
Horses: A horse is measured in ________?|Hands
Horses: The late, great Ruffian ran her last race against which colt?|Foolish Pleasure
Horses: Horses were first domesticated for what?|Meat and milk
Horses: The appaloosa is associated with what group of Native Americans?|Nez Perce
Horses: The horse associated with Anheuser-Busch is?|Clydesdale
Horses: The breed associated with the 'airs above the ground' is?|Lipizzaner
Horses: The fino, corto and largo are?|Gaits of a paso fino
Horses: The Pony of the Americas (POA) looks like what breed of horse?|Appaloosa
Horses: What color would a Lipizzan NOT be at birth?|White
Horses: The Quarter Horse originated in what country?|United States
Horses: The Spanish Riding School, where Lipizzans are bred and trained, is found in what country?|Austria
Horses: The mounts of 3 Civil War generals--Lee's Traveller, Grant's Cincinnati, Sherman's Lexington--were what breed of horse?|Saddlebred
Horses: What breed is known as 'The Horse America Made'?|Saddlebred
Horses: Hambletonian 10 is the foundation sire of what breed?|Standardbred
Horses: The 'running walk' is the characteristic gait of what breed?|Tennessee Walking Horse
Horses: What is the fastest harness horse in the world?|Standardbred
Horses: What breed originated from the Darley Arabian, the Godolphin Arabian and the Byerly Turk?|Thoroughbred
Horses: 'Drinker of the wind' is a nickname for what breed?|Arabian
Horses: The American Stud Book records what breed?|Thoroughbreds
Horses: 'Overo' and 'tobiano' are terms that refer to which type of horse?|Paint
Horses: Which breed of horse can 'turn on a dime'?|Quarter horse
Horses: An oxer is a type of what?|Jump
Horses: When your pony has his ears pinned back and looking at you, what's he trying to say?|Go away!
Horses: When a horses' eyes gets slightly cloudy What does this mean?|Horse is in pain
Horses: Whilst out in the paddock, the horse suddenly raises his head and has his ears pricked, what's he doing?|Looking for a predator
Horses: When a horse is relaxed under saddle, what would he possibly do?|Mouth the bit
Horses: When you are loose working a horse, and he bobs his head along the ground, what does this mean?|The horse is willing to listen
Horses: When I turn my 18 month old colt out into the paddock in the springtime, and he starts to bite and rear with the others, what's he doing?|Playing
Horses: When a new horse is introduced into a new herd, he often gets chased off by the herd, but everything finally settles down - what's happening here?|Establishing the pecking order
Horses: What breeds of horses usually have bald faces?|Appaloosa and Paint
Horses: A pony is classified as what height (and below) in hands?|14.2 hands
Horses: What is the purpose of a figure eight noseband?|To keep the mouth closed
Horses: Pivoting on the forefeet is called a turn on the?|Forehand
Horses: How many poles are there in Pole Bending?|Six
Horses: A cow-hocked horse has his hocks what?|Too close together
Horses: What is the Sport of Kings?|Horse racing
Horses: Where are a horse's feathers?|On his fetlocks
Horses: Foaling usually takes how long?|15-30 minutes
Horses: A strawberry roan would be what color without his white hairs?|Chestnut
Horses: What is the color pattern on a horse that is commonly thought to be a breed of horse?|Pinto
Horses: Palomino is also a name for what?|Color of a horse
Horses: What are most horses used for now?|Pleasure riding
Horses: What type of horses are the wild Mustangs descended from?|Spanish horses
Horses: What was the name of the little golden Arabian stallion in the book: 'The King of the Wind'?|Sham
Horses: Where does the bit go?|In the mouth
Horses: What is the gestation period of a horse?|11 months
Horese: What is a group of female horses called?|Harem
Horses: What is the average height in hands of a mustang (to the withers)?|14 hands
Horese: What is the lifespan of the mustang?|Up to 20 years
Horses: In what year were laws passed to make it a federal offense to harass or kill mustangs?|1971
Horses: What is an older female mustang who heads the herd called?|Lead mare
Horses: What is the diet of the mustang?|Grass and foliage
Horses: For what wars were mustangs captured and used?|Boer war and World War 1
Horses: In what part of the United States do the mustangs roam?|Western
Horses: At what age do mustangs become sexually mature?|3 years
Horses: What does 1 hand equal in inches?|Four
Horses: What kind of horse is the mustang descended from?|Spanish Barbs and Andalusian
Horses: What is the part of the saddle where your feet go?|Stirrups
Horses: What is the peice of equipment called thats used to take a horse from a stall?|Halter
Horses: What illness is common in a foal's first 2 weeks of life?|Foal scours
Horses: What application is used on foal's navel after birth?|Iodine
Horses: How old is a colt when he is trained to ride?|2 years
Horses: What sex of horse is usually reccomended for beginners?|Geldings
Horses: What was the name of Alexander The Great's horse?|Bucephalus
Horses: What horse was the only survivor at the battle of Little Big Horn (He was thought to be half mustang and half Morgan)|Comanche
Horses: Justin Morgan, a schoolteacher from Vermont was sold a small colt who would become the founder of America's first breed-the Morgan. What was the little horse's name?|Figure
Horses: What horse won the Triple Crown in 1973. At the Belmont he won by the all-time record of 31 lengths.|Secretariat
Horses: What filly racehorse was never defeated in any race, was in a match race at Belmont Park in 1975 with Foolish Pleasure, and in this race she broke her leg and had to be put down. She is now buried at Belmont Park.|Ruffian
Horses: In 'National Velvet', Elizabeth Taylor wins a horse and enters him in the Grand National. What's the horse's name?|The Pie
Horses: 'Phenylbutazone' belongs to which group of drugs?|NSAID's
Horses: Laminitis or Founder is a condition that affects which part of the horse's anatomy?|Hooves
Horses: Which 'holistic' horse trainer was actively involved with a Mustang gelding by the name of 'Shy Boy'?|Monty Roberts
Horses: Who performed research on 'Bare Foot' trimming methods, and subsequently published an article entitled 'A lifetime of soundness'?|Dr. Hiltrude Strasser
Horses: In a wild herd, who IS the leader (or 'calls the shots') in the herd?|The Matriach Mare
Horses: If your horse starts 'bucking' when ridden (that has not been apparent previously) What should you check first?|Saddle
Horses: What can be the most severe piece of equipment on your bridle?|Hands
Horses: 'Ringworm' is a condition caused by what?|Fungus
Horses: The term 'Having a BEAN' (USA) is a condition that causes the horse alot of discomfort and sometimes to a stage where the horses loses performance. Which area does this affect?|Sheath
Horses: The drug 'Benzyl Benzoate' is commonly used to treat what type of condition in horses?|Sweet itch
Horses: The Thoroughbred horse is evolved from selective breeding by humans, unfortunately most carry a renowned congenital problem, where is it?|Feet
Horses: Which famous UK 'National Hunt' rececourse boasts 'The Chair' jump?|Aintree
Horses: In showjumping, how many penalty points would you get if you 'knocked a pole down'?|Four
Horses: In dressage, how many 'tracks' should a horse make in a 'shoulder-in' movement?|Three
Horses: In which country would you find the headquarters of the World Equistrian Governing Body, The FEI (Federation Equestre Internationale)?|Switzerland
Horses: In which disclipline would you find an 'Oxer'?|Showjumping
Horses: Where do you find a 'calkin'?|Horse shoes
Horses: What is a 'milk shake'?|Performance drench
Horses: In racing, where is the Queen Elizabeth II Cup (International Group 1 flat race) held?|Hong Kong
Horses: A farmer in Vermont, trying to breed an all-around utility horse, developed this breed, which was named after him.|Morgan
Horses: What big, red Thoroughbred, owned by Samuel Riddle, and a winner in all but one start, never raced in the Kentucky Derby; thereby never having a chance to win the Triple Crown.|Man'o'war
Horses: What is the name of the mythological winged horse?|Pegasus
Arts & Entertainment: What fellow artist did Van Gogh threaten with a razor before taking a swipe at himself?|Paul Gauguin
History: Who changed his name from Vernon Wayne Howell for "publicity and business purposes"?|David Koresh
People & Places: What city would you visit to see the contents of King Tut's tomb?|Cairo
History: What's the most commonly used slang term to describe helicopters?|Choppers
World: What literary character tilted at windmills, mistaking them for giants?|Don Quixote
Sports & Leisure: Who was the first man in 56 years to win both springboard and platform diving at the Olympics?|Greg Louganis
Science & Nature: What independent movie studio shares it's name with a constellation?|Orion
World: In what movie Eddie Murphy insist his character's name be changed from Willie Biggs to Reggie Hammond?|48 Hrs.
Arts & Entertainment: Who was the second black star to be in a film grossing over $100 million?|Whoopi Goldberg
Arts & Entertainment: Name one No.1 Michael Jackson hit this is a three-letter word beginning with the letter "B"|'Ben' or 'Bad'
Sports & Leisure: What bowling pin is known as the widow?|The ten pin
Sports & Leisure: How many thousand cows are needed to supply the NFL with enough footballs for a season?|Three
People & Places: What was the only U.S. state in 1992 to lose more citizens to handguns than to car crashes?|Texas
World: What Victor Hugo novel does "The Simpsons" pay tribute to by giving prisoners the number 24601?|Les Miserables
World: What kind of tails did a gang of aborigines freeze, use to attack three police officers, and then eat?|Kangaroo tails
History: What did Donald Trump rename the yacht "Nabila" that he bought for $29 million in 1987?|The Trump Princess
Sports & Leisure: What Cincinnati Reds catcher could hold seven baseballs in his giant paw?|Johnny Bench
Science & Nature: What did Steven Hawking say could be formed by something other than the collapse of a star?|Black holes
Arts & Entertainment: What's the most famous five-word phrase uttered by Clint Eastwood in the movie "Sudden Impact"?|Go ahead, make my day
History: Who became South Dakota's first Democratic senator in 26 years by a margin of 597 votes in 1962?|George McGovern
World: What hit saw the U.S. Navy bill moviemakers $1.1 million for "technical services"?|Top Gun
Science & Nature: Who was the first president to wear false teeth?|George Washington
People & Places: What department store chain established it's headquarters in the Sears Tower?|Sears, Roebuck and Co.
Arts & Entertainment: What black star noted: "I'm funny without drugs. I don't have to sniff cocaine to be funny"?|Eddie Murphy
Sports & Leisure: What player donned a Baltimore Orioles uniform for a major league record of 23 years?|Brooks Robinson
Sports & Leisure: What Olympic ice racer took a victory lap with a U.S. flag in one hand and his daughter Jane in the other?|Dan Jansen
History: What did George Armstrong Custer accidentally shoot and kill while hunting buffalo?|His horse
World: What four-word farewell of the 1950s was inspired by a many-toothed reptile?|See you later, alligator
World: What subway vigilante took exception to being asked for $5 on January 25, 1985?|Bernhard Goetz
People & Places: What city did Michelangelo do "David" in?|Florence
World: What well-known politician was a college roommate of Tommy Lee Jones?|Al Gore
Arts & Entertainment: What movie put Eddie Murphy on the cover of "Newsweek" as "Mr. Box Office" when he was 23?|Beverly Hills Cop
Sports & Leisure: What city's vendors sell the most teddy bears made in one of their favorite baseballer's image?|Minneapolis
History: What infamous six words came back to haunt George Bush in his 1992 presidential campaign?|Read my lips, no new taxes
World: What "Married ... with Children" star's bra was stolen from Frederick's of Hollywood in L.A. rioting?|Katey Sagal's
People & Places: What phrase did Abraham Lincoln use instead of "87 years" in his Gettysburg Address?|Four score and seven years
World: What TV and radio host never enters the studio without his suspenders?|Larry King
People & Places: What playwright did Muammar Qaddafi insist was "of Arab origin" in 1989?|William Shakespeare
History: What did the Soviets send up into space on the 40th anniversary of the day the communists seized power?|Sputnik I
People & Places: What country cancelled its May Day parade in 1994 for the first time since 1959, due to lack of money?|Cuba
Arts & Entertainment: What five words end Charles Dicken's most famous Christmas story?|God bless us every one
People & Places: What 'state' boasts the largest church in Christendom?"|Vatican City
History: Which of Cleopatra's husbands killed himself by falling on his sword?|Marc Antony
World: Who said: "I was the first woman to burn my bra. It took the fire department four days to put it out"?|Dolly Parton
Science & Nature: Which finger of the throwing hand is subject to a painful syndrome called "Frisbee finger"?|The middle finger
Science & Nature: What Michigan doctor lead the fight for medicide, or physician-assisted suicide?|Jack Kevorkian
Arts & Entertainment: What renowned reference work did Lon Chaney write an entry on makeup for?|Encyclopaedia Britannica
History: What White House aide's shredding machine jammed on November 21, 1986?|Oliver North's
People & Places: Whose Atlantic City hotel-casino is three times the size of the Taj Mahal, it's East Indian namesake?|Donald Trump's
Sports & Leisure: Who won the only two U.S. Open singles titles not won by Chris Evert from 1975 through 1982?|Tracy Austin
Arts & Entertainment: What do most people call "Waltz Number 314" by Johann Strauss Jr.?|Blue Danube
Sports & Leisure: Who batted .373 with 47 home runs and 175 RBI the year Babe Ruth hit 60 homers?|Lou Gehrig
Sports & Leisure: What baseball owner was right in assuming midget Eddie Gaedel would walk as a pinch hitter in 1951?|Bill Veeck
World: What 73-year-old trapeze artist fell to his death in 1978?|Karl Wallenda
History: What was the last hotel Robert Kennedy was in before riding to his final resting place?|The Ambassador
Sports & Leisure: What hockey star was ribbed as "The Yellow One" because of his aversion to flying?|Wayne Gretzky
Science & Nature: Where are two Russian vehicles, auctioned at Sotheby's in 1993 for $68,500, currently parked?|On the moon
Sports & Leisure: What Phillies first baseman correctly noted: "I'm not an athlete, I'm a baseball player"?|John Kruk
Science & Nature: What whale was prized for the 15 barrels of high-quality oil found behind its forehead?|The sperm whale
People & Places: What Virginia county's courthouse was the site of Lee's surrender to Grant?|Appomattox County's
World: How many seasons did Johnny Carson host "The Tonight Show"?|Thirty
Sports & Leisure: Who's the only man to win the Masters, British Open, U.S. Open, PGA and U.S. Amateur at least twice?|Jack Nicklaus
Arts & Entertainment: What blonde strutted as a Playboy Club waitress before singing lead vocals on four No. 1 hits?|Deborah Harry
History: USA President Jimmy Carter, brought together Anwar Sadat and who else at the Camp David peace negotiations?|Menachem Begin
History: What president nearly fell out of the Wright brothers' plane while waving to a crowd?|Theodore Roosevelt
Science & Nature: What helpful aid did the mother of Monkee Mike Nesmith invent for typists the world over?|Liquid Paper Correction Fluid
Sports & Leisure: Who became the first black member of the Milwaukee Braves, in 1954?|Hank Aaron
Sports & Leisure: Who broke baseball's color barrier, inking a contract and starting at first base in 1947?|Jackie Robinson
People & Places: What mountain do Tibetans call Chomo-Lungma, or Mother Goddess of the Land?|Mount Everest
Arts & Entertainment: What children's book introduced the cat behind it's Cheshire grin?|Alice's Adventures in Wonderland
Sports & Leisure: What hand can a realistic poker player expect to be dealt once every 649,740 hands?|A royal flush
People & Places: Who was the first woman ever to cross the Atlantic Ocean by airplane?|Amellia Earhart
Arts & Entertainment: Who got laughs opposite Eddie Murphy in the role of Detective Billy Rosewood?|Judge Reinhold
Sports & Leisure: What baseballer teamed with Babe Ruth to form "the greatest 1-2 punch the sport has ever known"?|Lou Gehrig
World: What book did King James authorize the first English publication of?|The Bible
History: Who's the only 20th-century USA president that had earned no undergraduate degree?|Harry Truman
People & Places: What hill in Athens boasts the Parthenon and other temples?|The Acropolis
Sports & Leisure: What pro figure skater did a Pittsburgh Steelers star marry in 1976?|Jo Jo Starbuck
World: What profession did one First Lady say was "good training for the political life which lay ahead"?|Acting
World: What replacement did station KFBK rush to hire after letting Morton Downey Jr. go in 1984?|Rush Limbaugh
Sports & Leisure: What major league baseball team shares it's name with young bears?|The Chicago Cubs
History: What three-word line of General MacArthur's appear on countless items dropped over the Philippines?|I shall return
World: What Hungarian name was given to 37 pet pooches registered in Los Angeles County by 1991?|Zsa Zsa
History: What five-word plea by Rodney King made the cover of "Time" after the 1992 Los Angeles riots took place?|Can't we all get along?
History: What U.S. general died in a Heidelberg hospital of lung congestion after a freak car accident?|George Patton
World: What Hindu god is said to have appeared on Earth as Rama, Krishna and Buddha?|Vishnu
World: What president adorns the double sawbuck?|Andrew Jackson
Arts & Entertainment: What 1987 movie earned Cher her first best actress Oscar?|Moonstruck
Sports & Leisure: What metal is an Olympic gold medal mostly made of?|Silver
People & Places: Who flew the Concord to sing in both the London and Philadelphia parts of Live Aid on the same day?|Phil Collins
Sports & Leisure: Whose bare feet did 3,000-meter runner Mary Decker trip over at the 1984 Olympics?|Zola Budd's
Science & Nature: What comet was named for the man who predicted it would return in 1758?|Halley's comet
People & Places: What modern-day city was renamed Leningrad when this Bolshevik died?|St. Petersburg
History: What memorable line did John Paul Jones allegedly utter during a sea battle with the British?|I have not yet begun to fight
People & Places: Who left his heart in San Francisco in a 1962 classic song?|Tony Bennett
Sports & Leisure: Who became golf's first career $5 million winner in 1988?|Jack Nicklaus
Sports & Leisure: Whose World Series heroics prompted George Steinbrenner to dub him "Mr. October"?|Reggie Jackson's
Science & Nature: What fruit is grown by 94 percent of backyard gardeners?|The tomato
World: Whose fans wore lapel buttons bearing saxophones on January 20, 1993?|Bill Clinton's
History: What Supreme Court justice hosted and officiated at the 1994 marriage of Rush Limbaugh?|Clarence Thomas
Trivia: What color reflects light from all parts of the visible spectrum?|white
Trivia: Triceratops' tail was longer than its body? True or false?|false
Trivia: Air bubbles in the center of a hair shaft cause hair to turn gray. True or false?|false
Trivia: Cyan is what color?|blue
Trivia: Tongue prints are as unique as fingerprints? True or false?|true
Trivia: What day of the month is New Year's Day in the United States?|1
Trivia: How many states begin with the letter "A"?|4
Trivia: The right lung takes in more air than the left? True or false?|true
Trivia: How many continents are there?|7
Trivia: How many times did Dorothy click her heels together?|3
Trivia: In 1995 what color M & M was substituted for tan?|blue
Trivia: How many wonders of the ancient world were there?|7
Trivia: The human body has 45 miles of nerves. True or false?|true
Trivia: Besides red and white, what other color is on the flag of Thailand?|blue
Trivia: What color is Lisa's necklace on The Simpsons?|white
Trivia: The Pacific Ocean encloses an area larger than all the land surfaces of the earth put together. True or false?|true
Trivia: How many outs are in a double play?|2
Trivia: How many races are run each year at the Indianapolis Speedway?|1
Trivia: Robert Todd Lincoln, son of Abraham Lincoln, was present at the assassinations of three presidents. True or false?|true
